"Year","state","OCC_CODE","OCC_TITLE","O_GROUP","TOT_EMP","JOBS_1000","H_MEAN","Mean_Salary","H_PCT10","H_PCT90","H_MEDIAN","A_PCT10","A_PCT90","Median_Salary","Keyword"
"2021","Nebraska","15-1242","database administrators","detailed","660","0.69099999999999995","41.96","87280","23.66","63.14","38.549999999999997","49200","131340","80190","Data Engineering"
"2021","Nebraska","15-1243","database architects","detailed","460","0.47599999999999998","54.33","113000","37.47","63.46","49.57","77940","131990","103110","Data Architecture"
"2021","Nebraska","15-2031","operations research analysts","detailed","240","0.252","43.3","90060","25.61","61.95","44.63","53260","128860","92830","Data Analytics"
"2021","Nebraska","15-2051","data scientists","detailed","800","0.83499999999999996","38.75","80590","22.72","57.27","38.549999999999997","47260","119130","80180","Data Science"
"2021","Nevada","00-0000","all occupations","total","1289190","1000","24.56","51080","10.86","46.27","18.22","22600","96230","37900","All US Occupations"
"2021","Nevada","15-1221","computer and information research scientists","detailed","50","4.1000000000000002E-2","58.12","120890","38.4","79.900000000000006","62.54","79870","166190","130070","Machine Learning"
"2021","Nevada","15-1242","database administrators","detailed","440","0.34","40.72","84700","24.01","49.18","38.97","49930","102290","81060","Data Engineering"
"2021","Nevada","15-1243","database architects","detailed","270","0.21099999999999999","43.47","90420","22.96","62.13","47.53","47750","129230","98870","Data Architecture"
"2021","Nevada","15-2031","operations research analysts","detailed","190","0.14699999999999999","37.68","78370","23.17","60.08","36.479999999999997","48200","124970","75880","Data Analytics"
"2021","Nevada","15-2051","data scientists","detailed","430","0.33500000000000002","46.97","97710","37.26","75.48","38.39","77500","157000","79860","Data Science"
"2021","New Hampshire","00-0000","all occupations","total","635220","1000","28.5","59270","11.84","49.09","22.58","24620","102100","46960","All US Occupations"
"2021","New Hampshire","15-1242","database administrators","detailed","250","0.40100000000000002","49.65","103280","29.48","63.12","48.56","61330","131280","101000","Data Engineering"
"2021","New Hampshire","15-1243","database architects","detailed","140","0.21299999999999999","47.04","97840","28.19","63.68","46.07","58640","132460","95820","Data Architecture"
"2021","New Hampshire","15-2031","operations research analysts","detailed","370","0.58699999999999997","39.130000000000003","81390","23.67","59.67","37.090000000000003","49240","124110","77150","Data Analytics"
"2021","New Hampshire","15-2051","data scientists","detailed","310","0.49099999999999999","46.2","96100","28.82","63.06","44.13","59950","131170","91790","Data Science"
"2021","New Jersey","00-0000","all occupations","total","3850220","1000","32.270000000000003","67120","13.55","61.18","23.17","28180","127240","48200","All US Occupations"
"2021","New Jersey","15-1221","computer and information research scientists","detailed","1190","0.309","63.31","131680","34.72","92.89","63.19","72210","193210","131440","Machine Learning"
"2021","New Jersey","15-1242","database administrators","detailed","2320","0.60299999999999998","60.06","124930","36.17","79.569999999999993","61.51","75230","165500","127940","Data Engineering"
"2021","New Jersey","15-1243","database architects","detailed","1230","0.32","66.2","137690","40.130000000000003","84.98","63.28","83470","176750","131620","Data Architecture"
"2021","New Jersey","15-2031","operations research analysts","detailed","3900","1.012","44.87","93330","27.86","70.239999999999995","38.57","57960","146100","80220","Data Analytics"
"2021","New Jersey","15-2051","data scientists","detailed","2840","0.73699999999999999","57.81","120240","36.17","78.48","61.11","75230","163230","127110","Data Science"
"2021","New Mexico","00-0000","all occupations","total","776540","1000","24.93","51860","10.96","46.52","18.18","22790","96770","37810","All US Occupations"
"2021","New Mexico","15-1221","computer and information research scientists","detailed","800","1.024","60.09","124980","30.27","92.35","58.1","62970","192090","120860","Machine Learning"
"2021","New Mexico","15-1242","database administrators","detailed","590","0.75600000000000001","39.57","82300","27.41","51.16","37.26","57020","106420","77500","Data Engineering"
"2021","New Mexico","15-1243","database architects","detailed","190","0.25","53.74","111780","29.67","75.45","57.81","61710","156930","120240","Data Architecture"
"2021","New Mexico","15-2031","operations research analysts","detailed","350","0.44600000000000001","42.79","89000","24.16","61.98","40.97","50250","128910","85220","Data Analytics"
"2021","New Mexico","15-2051","data scientists","detailed","180","0.22700000000000001","38.6","80290","17.989999999999998","60.95","30.32","37410","126780","63060","Data Science"
"2021","New York","00-0000","all occupations","total","8669050","1000","33.869999999999997","70460","14.05","62.16","23.46","29220","129290","48800","All US Occupations"
"2021","New York","15-1221","computer and information research scientists","detailed","840","9.7000000000000003E-2","64.260000000000005","133660","34.93","#","61.8","72640","#","128540","Machine Learning"
"2021","New York","15-1242","database administrators","detailed","4940","0.56899999999999995","51.57","107260","23.73","80.02","48.57","49360","166450","101030","Data Engineering"
"2021","New York","15-1243","database architects","detailed","4420","0.51","64.42","134000","37.61","87.03","63.23","78220","181010","131520","Data Architecture"
"2021","New York","15-2031","operations research analysts","detailed","5420","0.625","48.12","100100","27.62","77.72","45.93","57460","161650","95540","Data Analytics"
"2021","New York","15-2051","data scientists","detailed","10050","1.159","58.91","122540","27.56","96","58.58","57320","199680","121850","Data Science"
"2021","North Carolina","00-0000","all occupations","total","4422020","1000","25.53","53100","10.75","47.74","18.45","22360","99300","38370","All US Occupations"
"2021","North Carolina","15-1221","computer and information research scientists","detailed","170","3.9E-2","57.56","119720","30.3","86.25","49.57","63020","179400","103110","Machine Learning"
"2021","North Carolina","15-1242","database administrators","detailed","2760","0.625","47.36","98500","25.88","63.45","47.62","53830","131970","99040","Data Engineering"
